iter	Passed	Remaining
565	473746	363261
566	474582	362423
567	475409	361579
568	476237	360735
569	477061	359888
570	477879	359037
571	478683	358175
572	479486	357313
573	480321	356475
574	481120	355610
575	481921	354747
576	482736	353895
577	483546	353038
578	484385	352204
579	485198	351350
580	485999	350488
581	486796	349623
582	487596	348760
583	488394	347897
584	489197	347037
585	490014	346187
586	490809	345322
587	491625	344472
588	492431	343614
589	493248	342766
590	494045	341902
591	494844	341041
592	495672	340200
593	496503	339360
594	497313	338507
595	498113	337647
596	498915	336789
597	499743	335948
598	500558	335098
599	501355	334236
600	502174	333390
601	502983	332537
602	503785	331679
603	504621	330844
604	505418	329983
605	506220	329126
606	507019	328268
607	507809	327403
608	508613	326547
609	509468	325725
610	510272	324870
611	511129	324049
612	511949	323204
613	512790	322372
614	513596	321519
615	514418	320676
616	515268	319850
617	516100	319013
618	516899	318155
619	517693	317295
620	518515	316452
621	519337	315610
622	520133	314751
623	520951	313906
624	521752	313051
625	522563	312202
626	523368	311349
627	524168	310494
628	524969	309640
629	525774	308788
630	526579	307936
631	527386	307085
632	528182	306229
633	529003	305386
634	529801	304531
635	530609	303682
636	531419	302834
637	532228	301985
638	533023	301129
639	533853	300292
640	534656	299441
641	535483	298602
642	536281	297748
643	537078	296894
644	537873	296038
645	538713	295208
646	539514	294356
647	540348	293522
648	541137	292664
649	541944	291816
650	542750	290967
651	543561	290121
652	544388	289284
653	545189	288433
654	546007	287591
655	546802	286737
656	547629	285900
657	548437	285053
658	549244	284206
659	550040	283354
660	550836	282501
661	551635	281650
662	552453	280809
663	553248	279957
664	554043	279104
665	554846	278256
666	555646	277406
667	556463	276565
668	557292	275730
669	558140	274905
670	559111	274139
671	559945	273306
672	560787	272477
673	561704	271684
674	562662	270911
675	563651	270152
676	564619	269382
677	565686	268659
678	566670	267895
679	567606	267109
680	568463	266284
681	569387	265491
682	570231	264661
683	571187	263882
684	572120	263092
685	573022	262287
686	573897	261470
687	574718	260627
688	575593	259810
689	576624	259063
690	577531	258259
691	578492	257479
692	579371	256662
693	580187	255817
694	581047	254992
695	581870	254150
696	582689	253306
697	583516	252467
698	584339	251625
699	585146	250777
700	585947	249926
701	586760	249080
702	587598	248245
703	588427	247406
704	589254	246567
705	590106	245738
706	590970	244914
707	591881	244109
708	592720	243274
709	593583	242449
710	594531	241658
711	595432	240849
712	596321	240034
713	597232	239227
714	598141	238419
715	599019	237599
716	599878	236772
717	600705	235931
718	601519	235086
719	602351	234247
720	603312	233459
721	604144	232620
722	605034	231804
723	605857	230962
724	606678	230119
725	607492	229274
726	608331	228438
727	609150	227594
728	610017	226769
729	610924	225958
730	611884	225166
731	612728	224332
732	613638	223521
733	614466	222681
734	615279	221835
735	616120	220999
736	616928	220152
737	617791	219324
738	618619	218483
739	619431	217637
740	620240	216791
741	621040	215941
742	621843	215092
743	622669	214251
744	623489	213409
745	624314	212568
746	625106	211716
747	625903	210865
748	626704	210017
749	627539	209179
750	628351	208334
751	629153	207486
752	629955	206638
753	630750	205788
754	631570	204946
755	632394	204106
756	633247	203274
757	634043	202425
758	634839	201576
759	635637	200727
760	636442	199881
761	637239	199032
762	638038	198184
763	638832	197335
764	639647	196493
765	640454	195647
766	641254	194800
767	642052	193953
768	642856	193107
769	643691	192271
770	644532	191437
771	645357	190597
772	646181	189758
773	647004	188918
774	647810	188074
775	648608	187227
776	649406	186380
777	650205	185534
778	651001	184687
779	651799	183840
780	652601	182995
781	653395	182148
782	654192	181302
783	654988	180456
784	655791	179611
785	656591	178766
786	657389	177921
787	658187	177075
788	658983	176230
789	659779	175384
790	660574	174538
791	661374	173694
792	662171	172849
793	662966	172003
794	663762	171158
795	664557	170313
796	665364	169471
797	666165	168628
798	666960	167783
799	667755	166938
800	668559	166096
801	669384	165259
802	670178	164414
803	670974	163570
804	671766	162726
805	672563	161882
806	673361	161039
807	674174	160199
808	675010	159365
809	675901	158544
810	676797	157724
811	677670	156899
812	678565	156078
813	679383	155239
814	680206	154402
815	681020	153563
816	681845	152726
817	682662	151888
818	683475	151048
819	684323	150217
820	685139	149378
821	685946	148538
822	686763	147699
823	687594	146864
824	688477	146040
825	689315	145206
826	690174	144377
827	691019	143545
828	691886	142717
829	692801	141899
830	693695	141076
831	694578	140251
832	695449	139423
833	696292	138590
834	697163	137762
835	697996	136927
836	698843	136095
837	699694	135263
838	700522	134426
839	701404	133600
840	702229	132763
841	703047	131925
842	703903	131094
843	704722	130256
844	705551	129420
845	706391	128586
846	707250	127755
847	708098	126923
848	708997	126099
849	709845	125266
850	710686	124432
851	711596	123610
852	712466	122781
853	713338	121952
854	714175	121117
855	715001	120280
856	715846	119447
857	716671	118610
858	717505	117774
859	718334	116938
860	719161	116101
861	720002	115267
862	720962	114451
863	721967	113642
864	722958	112831
865	723896	112011
866	724812	111188
867	725731	110364
868	726649	109540
869	727580	108718
870	728499	107894
871	729409	107069
872	730353	106248
873	731345	105434
874	732287	104612
875	733249	103793
876	734160	102966
877	735230	102161
878	736220	101345
879	737137	100518
880	738027	99688
881	738869	98850
882	739700	98012
883	740524	97172
884	741335	96331
885	742185	95495
886	743233	94684
887	744165	93858
888	745030	93024
889	745952	92196
890	746890	91370
891	747823	90543
892	748738	89714
893	749648	88884
894	750592	88058
895	751491	87226
896	752392	86395
897	753297	85563
898	754229	84735
899	755176	83908
900	756111	83079
901	757046	82251
902	758049	81429
903	758973	80598
904	759878	79766
905	760808	78936
906	761738	78105
907	762733	77281
908	763655	76449
909	764581	75617
910	765506	74786
911	766434	73954
912	767382	73124
913	768312	72292
914	769229	71458
915	770144	70624
916	771093	69793
917	772053	68963
918	772968	68128
919	773894	67295
920	774865	66465
921	776098	65656
922	777063	64825
923	778025	63993
924	778998	63162
925	779971	62330
926	780915	61496
927	781860	60661
928	782810	59827
929	783708	58988
930	784661	58154
931	785734	57328
932	786822	56502
933	787948	55679
934	788869	54841
935	789859	54007
936	790804	53170
937	791711	52330
938	792616	51490
939	793524	50650
940	794445	49811
941	795384	48972
942	796310	48133
943	797633	47317
944	798561	46477
945	799473	45635
946	800388	44794
947	801333	43955
948	802478	43125
949	803564	42292
950	804489	41451
951	805423	40609
952	806339	39766
953	807263	38924
954	808172	38081
955	809087	37238
956	810003	36395
957	810907	35551
958	811801	34706
959	812708	33862
960	813674	33021
961	814599	32177
962	815535	31334
963	816460	30490
964	817377	29645
965	818286	28800
966	819194	27955
967	820096	27110
968	821046	26266
969	822024	25423
970	822928	24577
971	823832	23731
972	824817	22888
973	825923	22047
974	827048	21206
975	827949	20359
976	829144	19519
977	830069	18672
978	830969	17824
979	831881	16977
980	832815	16129
981	833716	15281
982	834623	14433
983	835537	13585
984	836472	12738
985	837498	11891
986	838502	11044
987	839534	10196
988	840454	9347
989	841383	8498
990	842335	7649
991	843312	6800
992	844277	5951
993	845486	5103
994	846443	4253
995	847393	3403
996	848322	2552
997	849447	1702
998	850408	851
999	851323	0
